,inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,city_type,team1_cat,team2_cat
259,2,10,2,1,3,74,178.0,104.0,7.4,10.4,-3.0,1,6,7
260,2,11,9,0,3,83,178.0,95.0,7.545454545454546,10.555555555555555,-3.0101010101010095,1,6,7
261,2,12,14,0,3,97,178.0,81.0,8.083333333333334,10.125,-2.041666666666666,1,6,7
262,2,13,8,1,4,105,178.0,73.0,8.076923076923077,10.428571428571429,-2.351648351648352,1,6,7
263,2,14,3,0,4,108,178.0,70.0,7.714285714285714,11.666666666666666,-3.9523809523809517,1,6,7
264,2,15,7,0,4,115,178.0,63.0,7.666666666666667,12.6,-4.933333333333333,1,6,7
265,2,16,4,0,4,119,178.0,59.0,7.4375,14.75,-7.3125,1,6,7
266,2,17,11,1,5,130,178.0,48.0,7.647058823529412,16.0,-8.352941176470587,1,6,7
267,2,18,19,0,5,149,178.0,29.0,8.277777777777779,14.5,-6.222222222222221,1,6,7
268,2,19,19,1,6,168,178.0,10.0,8.842105263157896,10.0,-1.1578947368421044,1,6,7
269,2,20,12,0,6,180,178.0,-2.0,9.0,100.0,-91.0,1,6,7
270,1,1,2,1,1,2,-1.0,-1.0,2.0,-1.0,3.0,3,12,4
271,1,2,5,0,1,7,-1.0,-1.0,3.5,-1.0,4.5,3,12,4
272,1,3,11,0,1,18,-1.0,-1.0,6.0,-1.0,7.0,3,12,4
273,1,4,1,1,2,19,-1.0,-1.0,4.75,-1.0,5.75,3,12,4
274,1,5,3,1,3,22,-1.0,-1.0,4.4,-1.0,5.4,3,12,4
275,1,6,1,0,3,23,-1.0,-1.0,3.8333333333333335,-1.0,4.833333333333334,3,12,4
276,1,7,8,0,3,31,-1.0,-1.0,4.428571428571429,-1.0,5.428571428571429,3,12,4
277,1,8,3,0,3,34,-1.0,-1.0,4.25,-1.0,5.25,3,12,4
278,1,9,13,0,3,47,-1.0,-1.0,5.222222222222222,-1.0,6.222222222222222,3,12,4
279,1,10,6,0,3,53,-1.0,-1.0,5.3,-1.0,6.3,3,12,4
280,1,11,6,0,3,59,-1.0,-1.0,5.363636363636363,-1.0,6.363636363636363,3,12,4
281,1,12,6,0,3,65,-1.0,-1.0,5.416666666666667,-1.0,6.416666666666667,3,12,4
282,1,13,3,0,3,68,-1.0,-1.0,5.230769230769231,-1.0,6.230769230769231,3,12,4
283,1,14,2,1,4,70,-1.0,-1.0,5.0,-1.0,6.0,3,12,4
284,1,15,1,0,4,71,-1.0,-1.0,4.733333333333333,-1.0,5.733333333333333,3,12,4
285,1,16,9,0,4,80,-1.0,-1.0,5.0,-1.0,6.0,3,12,4
